"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5163","login to the application @master @sanity @regression","chromium","2026-06-19","passed","2026-06-19","","Login.spec.ts","",""
"","5314","Register to OpenCart @master @sanity @regression","chromium","2026-06-19","passed","2026-06-19","","AccountRegistration.spec.ts","",""
"","3995","login to the application","chromium","2026-06-19","passed","2026-06-19","","Login.spec.ts","",""
"","6214","Register to OpenCart","chromium","2026-06-19","passed","2026-06-19","","AccountRegistration.spec.ts","",""
